                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.58396,                0.27913,                0.28449,                0.75289,                0.99171,                0.98557,                0.99212,                0.81014,                0.98608,                 0.9798,                0.98833,                0.74759,                0.53974,                0.29117,                0.27485,                 0.7128,             0.00063003,             0.00063003,             0.00063003
                     95,                0.59834,                0.28937,                0.29025,                0.75335,                 0.9925,                0.98687,                0.99208,                0.81079,                0.98795,                0.98333,                0.98965,                0.74361,                0.54322,                0.30011,                0.27575,                0.71317,             0.00062703,             0.00062703,             0.00062703
                     96,                0.59137,                0.28159,                0.28739,                0.75367,                0.99254,                0.98699,                0.99282,                0.81287,                0.99049,                0.98491,                0.99096,                0.74697,                0.53765,                0.28487,                0.27461,                0.71047,             0.00062403,             0.00062403,             0.00062403
                     97,                0.57366,                0.26537,                0.28026,                0.75115,                0.99117,                0.98779,                0.99304,                 0.8164,                0.98614,                0.98308,                0.98782,                0.75026,                0.52368,                0.28174,                0.26756,                0.70944,             0.00062103,             0.00062103,             0.00062103
                     98,                0.59414,                0.27687,                0.28657,                0.75213,                0.99133,                0.98888,                0.99233,                0.80894,                0.98776,                0.98522,                0.98875,                0.75382,                 0.5446,                 0.2833,                0.27941,                 0.7105,             0.00061803,             0.00061803,             0.00061803
                     99,                0.59406,                0.28426,                 0.2878,                0.75642,                0.99289,                0.98552,                0.99287,                0.81445,                0.98917,                0.98152,                0.99041,                0.74658,                0.53884,                0.30483,                 0.2737,                0.71095,             0.00061503,             0.00061503,             0.00061503
                    100,                0.58434,                0.27848,                0.28519,                0.75386,                0.99211,                0.98794,                0.99298,                0.81488,                0.98699,                0.98261,                0.98948,                0.75437,                0.53235,                0.28304,                0.27113,                0.70987,             0.00061203,             0.00061203,             0.00061203
                    101,                0.57878,                0.27423,                0.27832,                0.74933,                0.98918,                0.98797,                0.99175,                0.81125,                0.98616,                0.98508,                0.98792,                0.75267,                0.52374,                0.27325,                0.27103,                0.70952,             0.00060903,             0.00060903,             0.00060903
                    102,                0.59055,                0.27669,                 0.2848,                0.75334,                0.99404,                0.98746,                0.99303,                  0.814,                0.99095,                0.98433,                0.99043,                0.75061,                0.53505,                0.28902,                0.27656,                0.70921,             0.00060603,             0.00060603,             0.00060603
                    103,                0.58328,                0.26879,                0.28234,                0.75419,                0.98767,                0.98943,                0.99209,                0.80948,                0.98215,                0.98366,                0.98779,                0.75376,                0.55255,                0.28816,                0.28227,                 0.7124,             0.00060303,             0.00060303,             0.00060303
                    104,                0.57888,                0.26693,                0.27983,                0.75176,                0.98992,                 0.9861,                0.99238,                0.81477,                0.98574,                0.98192,                0.98925,                0.76112,                0.52298,                0.26482,                0.26983,                0.70878,             0.00060003,             0.00060003,             0.00060003
                    105,                0.56498,                 0.2538,                0.27423,                 0.7495,                0.98993,                0.98882,                0.99301,                0.81262,                0.98383,                0.98253,                0.98685,                0.75332,                0.53609,                0.28118,                0.26918,                0.70832,             0.00059703,             0.00059703,             0.00059703
